Title,Time,T
Welcome,,
Introduction,"June 22, 2021 9:00 AM-9:20 AM",1:00-1:20
https://gist.github.com/wsutina/1f4f0f9cb901e5a37ecf1ede03e94666#file-2-creating-indices-md,"June 22, 2021 9:20 AM-9:30 AM",1:20-1:30
Mappings,"June 22, 2021 9:30 AM-9:40 AM",1:30-1:40
Term queries,"June 22, 2021 9:40 AM-9:50 AM",1:40-1:50
Range queries,"June 22, 2021 9:50 AM-10:00 AM",1:50-2:00
Break,"June 22, 2021 10:00 AM-10:15 AM",2:00-2:15
Analysers,"June 22, 2021 10:15 AM-10:45 AM",2:15-2:45
Match queries,"June 22, 2021 10:45 AM-11:00 AM",2:45-3:00
Break,"June 22, 2021 11:00 AM-11:15 AM",3:00-3:15
Phrase match queries,"June 22, 2021 11:15 AM-11:30 AM",3:15-3:30
Bool queries,"June 22, 2021 11:30 AM-12:00 PM",3:30-4:00
Wrap up + QA,"June 22, 2021 12:00 PM-12:30 PM",4:00-4:30
